Prioridade,Orçamento,Natureza,Tribunal de Origem,Autos do precatório,Valor Deferido,Situação,Local,Regime
Normal,2025,Comum,TJSC,5061591-29.2023.8.24.0000,4797609.85,Indefinido,Município_de_Ituporanga_Especial,Especial
Normal,2025,Comum,TJSC,5063276-71.2023.8.24.0000,193302.14,Indefinido,Município_de_Ituporanga_Especial,Especial
Normal,2025,Comum,TJSC,5074911-49.2023.8.24.0000,333597.56,Indefinido,Município_de_Ituporanga_Especial,Especial
Normal,2025,Comum,TJSC,5008490-43.2024.8.24.0000,199728.65,Indefinido,Município_de_Ituporanga_Especial,Especial
Normal,2025,Comum,TJSC,5018186-06.2024.8.24.0000,133195.32,Indefinido,Município_de_Ituporanga_Especial,Especial
Normal,2026,Alimentar,TJSC,0001177-04.2024.5.12.0000,117342.66,Indefinido,Município_de_Ituporanga_Especial,Especial
Normal,2026,Comum,TJSC,5083004-64.2024.8.24.0000,153466.09,Indefinido,Município_de_Ituporanga_Especial,Especial
Normal,2026,Alimentar,TJSC,5073795-71.2024.8.24.0000,140060.84,Indefinido,Município_de_Joaçaba_Geral,Geral
Normal,2026,Comum,TJSC,5073797-41.2024.8.24.0000,261335.59,Indefinido,Município_de_Joaçaba_Geral,Geral
Normal,2026,Alimentar,TJSC,5080233-16.2024.8.24.0000,187598.88,Indefinido,Município_de_José_Boiteux_Geral,Geral
Normal,2025,Alimentar,TJSC,5016254-80.2024.8.24.0000,105581.73,Indefinido,Município_de_Lebon_Régis_Não_identificado,Especial
Normal,2025,Comum,TJSC,5024776-33.2023.8.24.0000,684424.45,Indefinido,Município_de_Leoberto_Leal_Geral,Geral
Normal,2026,Comum,TJSC,5068842-64.2024.8.24.0000,824745.13,Indefinido,Município_de_Maravilha_Especial,Especial
Normal,2024,Comum,TJSC,5054852-74.2022.8.24.0000,290002.22,Indefinido,Município_de_Matos_Costa_Geral,Geral
Normal,2025,Comum,TJSC,5048335-19.2023.8.24.0000,145835.73,Indefinido,Município_de_Ouro_Geral,Geral
Idade,2025,Alimentar,TJSC,5057198-61.2023.8.24.0000,116150.8,Indefinido,Município_de_Ouro_Verde_Geral,Geral
Normal,2026,Alimentar,TJSC,5078160-71.2024.8.24.0000,120720.86,Indefinido,Município_de_Paraíso_Geral,Geral
Normal,2026,Alimentar,TJSC,5078161-56.2024.8.24.0000,159286.28,Indefinido,Município_de_Paraíso_Geral,Geral
Normal,2026,Alimentar,TJSC,5078162-41.2024.8.24.0000,137317.45,Indefinido,Município_de_Paraíso_Geral,Geral
Normal,2026,Alimentar,TJSC,5078163-26.2024.8.24.0000,138907.63,Indefinido,Município_de_Paraíso_Geral,Geral
Normal,2025,Comum,TJSC,0002665-03.2020.8.24.0500,163579.97,Indefinido,Município_de_Paulo_Lopes_Geral,Geral
Normal,2026,Comum,TJSC,0002665-03.2020.8.24.0500,163579.97,Indefinido,Município_de_Paulo_Lopes_Geral,Geral
Normal,2025,Comum,TJSC,0000810-23.2019.8.24.0500,811544.25,Indefinido,Município_de_Penha_Geral,Geral
Normal,2025,Comum,TJSC,5012484-79.2024.8.24.0000,111787.53,Indefinido,Município_de_Penha_Geral,Geral
Normal,2026,Comum,TJSC,5040344-55.2024.8.24.0000,236888.29,Indefinido,Município_de_Peritiba_Geral,Geral
Normal,2026,Comum,TJSC,5083070-44.2024.8.24.0000,472472.68,Indefinido,Município_de_Peritiba_Geral,Geral
Normal,2024,Alimentar,TJSC,5019217-95.2023.8.24.0000,223443.46,Indefinido,Município_de_Planaltina_-_GO_Geral,Geral
